FID,Codigo,Nome,Endereco,Numero,Bairro,CEP,DDD,Telefone,CodigoPonto,tematica,link,geomEquipamentoPublico,exibirWeb
EquipamentoPublicoDados.1,1,Fortaleza de Itaipú,Avenida Marechal Mallet,01,Militar,11700900,13,34736054,1,Segurança,http://www.cmse.eb.mil.br/index.php/fortes/forte-de-itaipu,POINT (357735.95649121574 7343331.895065675),1
EquipamentoPublicoDados.2,2,Escola Estadual Adelaide Patrocínio dos Santos,Rua Marcilio Dias,82,Canto do Forte,11700420,13,34916690,3,Educação,,POINT (357628.56952142535 7344380.397006323),1
EquipamentoPublicoDados.3,3,Escola Municipal Estina Campi Baptista,Rua Xixová,1100,Canto do Forte,11700430,13,34965313,4,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/66,POINT (357483.4062317235 7344466.473728699),1
EquipamentoPublicoDados.4,4,Escola Municipal Fausto dos Santos Amaral,Rua Marcilio Dias,250,Canto do Forte,11700420,13,34730398,5,Educação,http://dpid.cidadaopg.sp.gov.br/escolas/escolas/index-escola/67,POINT (357513.38301765226 7344402.414431436),1
EquipamentoPublicoDados.5,5,Campo do CESAC,Rua Xixová,670,Canto do Forte,        ,  ,,6,Esporte,,POINT (357476.909683978 7344384.301336545),1
EquipamentoPublicoDados.6,6,Ginásio Canto do Forte,Rua Espírito Santo,35,Canto do Forte,11700190,13,34965427,7,Esporte,http://www.praiagrande.sp.gov.br/administracao/Projeto_descricao.asp?cdSecretaria=50&cdProjeto=76,POINT (356966.1751336826 7344127.176448843),1
EquipamentoPublicoDados.7,7,Ginásio Mirim III – Adécio Araújo Santos,Avenida Marechal Maurício José Cardoso,1340,Canto do Forte,11700140,13,34965179,8,Esporte,,POINT (356697.1708866795 7344759.165135489),1
EquipamentoPublicoDados.9,9,Boutique do Peixe Canto do Forte,Avenida Presidente Castelo Branco,801,Canto do Forte,        ,  ,,10,Administrativo/Serviços,,POINT (356852.9230492509 7343461.876025613),1
EquipamentoPublicoDados.10,10,Espaço Xixová,Rua Xixová,1187,Canto do Forte,11700430,  ,,11,Lazer,,POINT (357513.2072933638 7344547.603282785),1
EquipamentoPublicoDados.11,11,CRAS Canto do Forte,Rua Xixová,1130,Canto do Forte,11700430,13,34965068,12,Assistência Social,mailto:cras@praiagrande.sp.gov.br,POINT (357489.88291230454 7344506.749166902),1
